"","Datetime","Symbol","rv10_ss","open_price","rv5","medrv","rsv_ss","rsv","nobs","rk_th2","bv_ss","rv5_ss","rv10","open_time","open_to_close","close_time","close_price","rk_parzen","bv","rk_twoscale"
"1",2000-01-03,".DJI",0.000127412556388631,11501.85,0.000124352024360413,7.89458701861419e-05,8.03515195069613e-05,8.03515195069613e-05,11083,9.35023328379161e-05,0.000140846544674078,0.000124352024360413,0.000127412556388631,93004,-0.0130117727219865,160002,11353.16,0.00019896071050119,0.000140846544674078,9.80989005730753e-05
"2",2000-01-04,".DJI",0.000281084820629563,11349.75,0.00021091520449903,6.85877080222559e-05,0.000160970033120854,0.000160970033120854,11113,9.1594418531775e-05,0.00016028115620594,0.00021091520449903,0.000281084820629563,93005,-0.0312068124747125,160003,11001.03,0.000197769571275219,0.00016028115620594,9.71767168757394e-05
"3",2000-01-05,".DJI",0.000251408112159411,10989.37,0.000210797641846722,0.000123495550249162,8.21601039985717e-05,8.21601039985717e-05,11096,0.000110437538264023,0.000243468511631796,0.000210797641846723,0.000251408112159411,93011,0.0125009653463835,160009,11127.61,0.000195943681488492,0.000243468511631796,0.00012048806065718
"4",2000-01-06,".DJI",8.81399264771646e-05,11113.37,0.000114090167705968,4.68319627443821e-05,4.28200124800459e-05,4.28200124800458e-05,10982,8.21471376829057e-05,9.85980706022997e-05,0.000114090167705968,8.81399264771646e-05,93003,0.0119854355531395,160002,11247.37,8.31236599462643e-05,9.85980706022997e-05,8.90531250897984e-05
"5",2000-01-07,".DJI",0.000154493137764046,11247.06,0.00012151106486788,6.88127978139089e-05,3.1777588645844e-05,3.1777588645844e-05,11016,5.89854167394725e-05,8.5515447475977e-05,0.00012151106486788,0.000154493137764046,93003,0.0240924708733203,160001,11521.32,0.000171029390151181,8.5515447475977e-05,6.18532294366022e-05
"6",2000-01-10,".DJI",7.5134317811814e-05,11532.48,7.22585582279594e-05,3.31571613172435e-05,2.74054045135799e-05,2.74054045135799e-05,10850,6.80677268150553e-05,5.99150457345282e-05,7.22585582279594e-05,7.5134317811814e-05,93007,0.00378645560666868,160006,11576.23,7.97593515096551e-05,5.99150457345282e-05,7.10590990919391e-05
"7",2000-01-11,".DJI",7.1477317740785e-05,11568.47,6.78184143158687e-05,5.04715878741921e-05,4.30429571670486e-05,4.30429571670486e-05,11205,6.05011877041146e-05,6.6862486302164e-05,6.78184143158687e-05,7.1477317740785e-05,93010,-0.00454244774115864,160007,11516.04,8.09463169971772e-05,6.6862486302164e-05,6.29174687756882e-05
"8",2000-01-12,".DJI",7.26216030501254e-05,11506.73,0.000100765916907578,5.74856787023197e-05,4.83918556296432e-05,4.83918556296432e-05,11293,7.52296140077615e-05,0.00010692474086178,0.000100765916907578,7.26216030501254e-05,93008,0.00379491295824153,160007,11550.48,4.40464954063244e-05,0.00010692474086178,8.16363942533743e-05
"9",2000-01-13,".DJI",7.28717437355905e-05,11558.24,6.69315081098464e-05,4.21205314999111e-05,3.16792931307071e-05,3.16792931307071e-05,11027,5.61586976399022e-05,6.11578878437161e-05,6.69315081098464e-05,7.28717437355905e-05,93004,0.0023056498610643,160003,11584.92,5.74989359621134e-05,6.11578878437161e-05,5.93132549030584e-05
"10",2000-01-14,".DJI",9.99895271895542e-05,11619.35,8.47414726415374e-05,3.8111215128899e-05,3.428407256106e-05,3.428407256106e-05,11386,5.87357051909616e-05,8.22608022441423e-05,8.47414726415374e-05,9.99895271895542e-05,93003,0.00800532646178986,160001,11712.74,0.000111200941533677,8.22608022441423e-05,6.06321029171269e-05
"11",2000-01-18,".DJI",0.000168911459534565,11719.19,0.00011732865975006,3.21146618288924e-05,8.62143935187642e-05,8.62143935187642e-05,11193,5.99563560827304e-05,0.000118743763951535,0.00011732865975006,0.000168911459534565,93002,-0.0130852853692929,160001,11566.84,0.000134859141484173,0.000118743763951535,6.127240756374e-05
"12",2000-01-19,".DJI",6.82925783091934e-05,11535.24,6.29266828360943e-05,3.11594330188124e-05,3.84618319533327e-05,3.84618319533327e-05,10915,4.15689762589459e-05,6.09453278598902e-05,6.29266828360943e-05,6.82925783091934e-05,93003,-0.00401228980052615,160002,11489.05,6.05212199864901e-05,6.09453278598902e-05,4.39891259316946e-05
"13",2000-01-20,".DJI",0.000168009495720406,11490.29,0.000159844069305508,5.49047926001123e-05,8.05427065271278e-05,8.05427065271278e-05,11051,8.87003903399331e-05,0.000109926115480504,0.000159844069305508,0.000168009495720406,93013,-0.0123066136276044,160011,11349.75,0.000123901295729066,0.000109926115480504,9.42246216119091e-05
"14",2000-01-21,".DJI",7.3023269388454e-05,11356.26,7.30765528683428e-05,3.69146262190464e-05,4.58917024640298e-05,4.58917024640298e-05,10713,5.18958031846768e-05,7.28275031489556e-05,7.30765528683428e-05,7.3023269388454e-05,93008,-0.00971038627065646,160007,11246.52,4.8513260802695e-05,7.28275031489556e-05,5.51847499898332e-05
