"","Datetime","Symbol","rv10_ss","open_price","rv5","medrv","rsv_ss","rsv","nobs","rk_th2","bv_ss","rv5_ss","rv10","open_time","open_to_close","close_time","close_price","rk_parzen","bv","rk_twoscale"
"24",2000-03-07,".N225",9.53992658373948e-05,19802.54,9.39669405557741e-05,4.14017324770361e-05,3.67649136016014e-05,3.67649136016014e-05,275,8.02164523357305e-05,8.05281679556122e-05,9.39669405557741e-05,9.53992658373948e-05,90101,0.00516325607956603,150101,19905.05,5.92842428526178e-05,8.05281679556122e-05,7.77030379528758e-05
"25",2000-03-08,".N225",0.000136214697220219,19856.37,9.47035472949291e-05,2.53730891737843e-05,6.20157402871874e-05,6.20157402871874e-05,275,7.82370957454579e-05,9.14826123484932e-05,9.47035472949291e-05,0.000136214697220219,90101,-0.00405628684291059,150100,19775.99,4.18463875575479e-05,9.14826123484932e-05,7.79415500260971e-05
"26",2000-03-09,".N225",8.49541059119557e-05,19751.72,9.98346659171574e-05,1.92396026221034e-05,6.37184446344863e-05,6.37184446344863e-05,274,7.36249932883534e-05,7.1879510129673e-05,9.98346659171574e-05,8.49541059119557e-05,90101,-0.00695517319384642,150000,19614.82,6.9581524477036e-05,7.1879510129673e-05,7.35181732033057e-05
"27",2000-03-10,".N225",0.000106877272896645,19734.84,9.77107750113584e-05,4.73291503646493e-05,4.25251698163638e-05,4.25251698163638e-05,275,9.53571674053906e-05,0.000104030597400063,9.77107750113584e-05,0.000106877272896645,90102,-0.00144519027880818,150059,19706.34,0.0001236463723975,0.000104030597400063,9.27400119452211e-05
"28",2000-03-13,".N225",0.000159321172144743,19734.09,0.000152711786377166,9.52394209970009e-05,0.000104503707870481,0.000104503707870481,268,0.000165067396956374,0.00015906480938787,0.000152711786377166,0.000159321172144743,91101,-0.0279619348015476,150401,19189.93,0.000278015176982734,0.00015906480938787,0.000156018831303617
"29",2000-03-14,".N225",0.000294373543039539,19139.57,0.000259796759171074,6.29332446914132e-05,0.00013095915868511,0.00013095915868511,275,0.000260342045887868,0.00020362218140765,0.000259796759171074,0.000294373543039539,90103,-0.0035775273371339,150101,19071.22,0.000183177005422828,0.00020362218140765,0.00024142583286031
"30",2000-03-15,".N225",0.000237350819457692,19120.06,0.000191570015391717,3.50729037875177e-05,0.000122983820908905,0.000122983820908905,275,0.000180994891955022,0.000153888924808916,0.000191570015391717,0.000237350819457692,90102,-0.00153202588924195,150100,19090.79,0.000203456071114975,0.000153888924808916,0.000182766820832281
"31",2000-03-16,".N225",0.000162805597590747,19095.63,0.000149828015864047,7.43108448879766e-05,7.36719460157181e-05,7.36719460157181e-05,274,0.000144512193651327,0.000170529253178749,0.000149828015864047,0.000162805597590747,90101,0.0112091545810902,150000,19310.88,0.000207787120100256,0.000170529253178749,0.000136344786149705
"32",2000-03-17,".N225",8.47604469724667e-05,19335.6,6.4620923792758e-05,6.15960546971883e-06,1.28064278537733e-05,1.28064278537733e-05,275,7.59947707861644e-05,5.0666321873336e-05,6.4620923792758e-05,8.47604469724667e-05,90101,0.0122276324127011,150100,19573.48,5.95229000015538e-05,5.0666321873336e-05,7.62065277742611e-05
"33",2000-03-21,".N225",7.55633154175275e-05,19598.53,6.18975730007893e-05,8.48261059703144e-06,3.02482858256709e-05,3.02482858256709e-05,275,6.29014855841263e-05,4.64297654864606e-05,6.18975730007893e-05,7.55633154175275e-05,90101,-0.000990871151694606,150101,19579.12,4.83121571551965e-05,4.64297654864606e-05,6.28809706019969e-05
"34",2000-03-22,".N225",5.74334481910749e-05,19612.23,6.68891998399824e-05,4.21245003664645e-05,2.53107825873023e-05,2.53107825873023e-05,275,4.69267684504914e-05,6.68601013404195e-05,6.68891998399824e-05,5.74334481910749e-05,90102,0.00505039248870887,150101,19711.53,9.92142572721871e-06,6.68601013404195e-05,4.70963314999012e-05
"35",2000-03-23,".N225",6.17239036604695e-05,19749.51,6.51454224580506e-05,2.26245816462143e-05,3.33871891896362e-05,3.33871891896362e-05,275,5.75933356310108e-05,6.31473984768134e-05,6.51454224580506e-05,6.17239036604695e-05,90101,-0.00134118540442962,150101,19723.04,6.77863869020806e-05,6.31473984768134e-05,5.8019882733368e-05
"36",2000-03-24,".N225",7.70202691441848e-05,19752.16,0.000126449775796636,2.25050385007838e-05,4.83890184433369e-05,4.83890184433369e-05,275,0.000116950617363418,9.96871472631311e-05,0.000126449775796636,7.70202691441848e-05,90101,0.00923319014738944,150100,19935.38,9.65973770004457e-05,9.96871472631311e-05,0.000116065425106654
