"","Date","Symbol","rv10_ss","open_price","rv5","medrv","rsv_ss","rsv","nobs","rk_th2","bv_ss","rv5_ss","rv10","open_time","open_to_close","close_time","close_price","rk_parzen","bv","rk_twoscale"
"1",2000-01-03,".IXIC",0.000600842482028741,4186.19,0.000403564637946461,0.000201020346929548,0.000275837842732821,0.000275837842732821,396,0.000424840229935968,0.000443909558658584,0.000403564637946461,0.000600842482028741,93101,-0.0135208693629156,160004,4129.97,0.00129066660012672,0.000443909558658584,0.000364074483235562
"2",2000-01-04,".IXIC",0.000513943275242788,4020,0.000436002420137178,0.000167050335123165,0.000287378844417635,0.000287378844417635,396,0.000461669259608658,0.000424437279809748,0.000436002420137178,0.000513943275242788,93101,-0.0295774093798293,160004,3902.84,0.000645807474329447,0.000424437279809748,0.000405246649351293
"3",2000-01-05,".IXIC",0.00105950712128015,3854.35,0.000694515637107027,0.00036609098205269,0.000373912921978968,0.000373912921978968,396,0.000787337542700369,0.000836796798336845,0.000694515637107027,0.00105950712128015,93101,0.00564517210913706,160004,3876.17,0.00112154767262767,0.000836796798336845,0.000641485786900999
"4",2000-01-06,".IXIC",0.000447343418090671,3834.44,0.000435912066160297,0.000155975275486647,0.000266072840056711,0.000266072840056711,397,0.000517075192344413,0.000484880393122362,0.000435912066160297,0.000447343418090671,93101,-0.028540528023294,160101,3726.55,0.000411267799353811,0.000484880393122362,0.000468644336749163
"5",2000-01-07,".IXIC",0.000431183347919295,3711.09,0.000296856556627378,0.000146419429177708,8.29774600319867e-05,8.29774600319867e-05,396,0.00031442096106424,0.000323958862830564,0.000296856556627378,0.000431183347919295,93102,0.0447131071497573,160004,3880.79,0.000821239234968842,0.000323958862830564,0.000278347888746283
"6",2000-01-10,".IXIC",0.000151212583842508,4002.23,0.00015166103879322,5.88685983160149e-05,6.38279281667912e-05,6.38279281667912e-05,396,0.000186796888805485,0.000130773150500021,0.00015166103879322,0.000151212583842508,93101,0.0115787145648891,160004,4048.84,0.000181885199033722,0.000130773150500021,0.000179423651709535
"7",2000-01-11,".IXIC",0.000314242301880612,4031.38,0.000252425237892074,0.000180207218560897,0.000171399872178087,0.000171399872178087,396,0.000277706432310592,0.000289398346724022,0.000252425237892074,0.000314242301880612,93101,-0.0276294153571719,160004,3921.52,0.00049361619355353,0.000289398346724022,0.000254476264254292
"8",2000-01-12,".IXIC",0.000613136966813412,3950.95,0.000495366725641687,0.000199929883039917,0.000335933110409038,0.000335933110409038,397,0.000579180177823802,0.000595766398001048,0.000495366725641687,0.000613136966813412,93102,-0.0259036874621117,160101,3849.92,0.00079792152167193,0.000595766398001048,0.000491162827793978
"9",2000-01-13,".IXIC",0.000308054088304055,3915.14,0.000239903788369397,0.000100887935729642,0.000126580215879774,0.000126580215879774,397,0.000235695335689692,0.000267596468889928,0.000239903788369397,0.000308054088304055,93103,0.0106376008659144,160102,3957.01,0.000305348477762658,0.000267596468889928,0.000218537293557482
"10",2000-01-14,".IXIC",0.000200539377843733,4045.72,0.000146726074077047,0.000107867058966603,7.66319975226308e-05,7.66319975226308e-05,396,0.000183752394307139,0.00015892466367397,0.000146726074077047,0.000200539377843733,93101,0.00443681726375544,160004,4063.71,0.000109089532823429,0.00015892466367397,0.00017849076012795
"11",2000-01-18,".IXIC",0.000106983848082353,4059.65,9.43516054522746e-05,5.5989088722423e-05,2.91141284493211e-05,2.91141284493211e-05,396,0.000101261291300005,9.719426861228e-05,9.43516054522746e-05,0.000106983848082353,93102,0.0176381664111691,160004,4131.89,0.000159857387748725,9.719426861228e-05,0.000103071030743401
"12",2000-01-19,".IXIC",0.000194426037230048,4116.27,0.000150566599341435,5.62785057226136e-05,9.16684527684369e-05,9.16684527684369e-05,396,0.000160433434833906,0.000142432446126011,0.000150566599341435,0.000194426037230048,93101,0.00847412471316389,160003,4151.3,0.000110241064567351,0.000142432446126011,0.000155949591348427
"13",2000-01-20,".IXIC",0.000169917810535449,4205.06,0.000156825523868624,0.000117266192300799,8.75930506389737e-05,8.75930506389737e-05,396,0.000172430969715677,0.000152558156516864,0.000156825523868624,0.000169917810535449,93101,-0.00387903996590211,160004,4188.78,0.000220395050437898,0.000152558156516864,0.000168948353645776
"14",2000-01-21,".IXIC",0.000115838834174093,4236.65,8.01173966151769e-05,3.09945911830476e-05,4.63070522283494e-05,4.63070522283494e-05,396,9.13672021193286e-05,8.36575770144361e-05,8.01173966151769e-05,0.000115838834174093,93101,-0.000361199611564444,160003,4235.12,0.000205972974247648,8.36575770144361e-05,7.90728261108136e-05
"15",2000-01-24,".IXIC",0.000319584668738442,4290.38,0.000242199055491477,0.000130888012437103,0.000198532624527063,0.000198532624527063,396,0.00026072473785315,0.000270145692630916,0.000242199055491477,0.000319584668738442,93101,-0.0460763749197763,160003,4097.18,0.000799929618906735,0.000270145692630916,0.000230842274762825
